date,temperature_2m
2024-01-01 00:00:00+00:00,65.9534
2024-01-01 01:00:00+00:00,63.1634
2024-01-01 02:00:00+00:00,61.183403
2024-01-01 03:00:00+00:00,61.5434
2024-01-01 04:00:00+00:00,56.1434
2024-01-01 05:00:00+00:00,54.1634
2024-01-01 06:00:00+00:00,53.533398
2024-01-01 07:00:00+00:00,52.6334
2024-01-01 08:00:00+00:00,52.4534
2024-01-01 09:00:00+00:00,51.4634
2024-01-01 10:00:00+00:00,51.9134
2024-01-01 11:00:00+00:00,52.4534
2024-01-01 12:00:00+00:00,49.5734
2024-01-01 13:00:00+00:00,48.0434
2024-01-01 14:00:00+00:00,47.6834
2024-01-01 15:00:00+00:00,48.943398
2024-01-01 16:00:00+00:00,52.0034
2024-01-01 17:00:00+00:00,55.5134
2024-01-01 18:00:00+00:00,58.3034
2024-01-01 19:00:00+00:00,60.6434
2024-01-01 20:00:00+00:00,62.443398
2024-01-01 21:00:00+00:00,63.073402
2024-01-01 22:00:00+00:00,62.3534
2024-01-01 23:00:00+00:00,59.833397
2024-01-02 00:00:00+00:00,55.1534
2024-01-02 01:00:00+00:00,52.0934
2024-01-02 02:00:00+00:00,50.0234
2024-01-02 03:00:00+00:00,48.2234
2024-01-02 04:00:00+00:00,46.693398
2024-01-02 05:00:00+00:00,45.3434
2024-01-02 06:00:00+00:00,44.1734
2024-01-02 07:00:00+00:00,43.5434
2024-01-02 08:00:00+00:00,45.0734
2024-01-02 09:00:00+00:00,46.3334
2024-01-02 10:00:00+00:00,46.873398
2024-01-02 11:00:00+00:00,47.0534
2024-01-02 12:00:00+00:00,46.693398
2024-01-02 13:00:00+00:00,45.6134
2024-01-02 14:00:00+00:00,45.1634
2024-01-02 15:00:00+00:00,45.6134
2024-01-02 16:00:00+00:00,46.2434
2024-01-02 17:00:00+00:00,47.5934
2024-01-02 18:00:00+00:00,50.6534
2024-01-02 19:00:00+00:00,50.5634
2024-01-02 20:00:00+00:00,49.4834
2024-01-02 21:00:00+00:00,50.0234
2024-01-02 22:00:00+00:00,50.6534
2024-01-02 23:00:00+00:00,50.3834
2024-01-03 00:00:00+00:00,49.3934
2024-01-03 01:00:00+00:00,50.9234
2024-01-03 02:00:00+00:00,51.193398
2024-01-03 03:00:00+00:00,49.3034
2024-01-03 04:00:00+00:00,49.3034
2024-01-03 05:00:00+00:00,49.3034
2024-01-03 06:00:00+00:00,48.7634
2024-01-03 07:00:00+00:00,46.4234
2024-01-03 08:00:00+00:00,44.7134
2024-01-03 09:00:00+00:00,43.6334
2024-01-03 10:00:00+00:00,43.0034
2024-01-03 11:00:00+00:00,42.823402
2024-01-03 12:00:00+00:00,42.5534
2024-01-03 13:00:00+00:00,42.5534
2024-01-03 14:00:00+00:00,45.1634
2024-01-03 15:00:00+00:00,47.5034
2024-01-03 16:00:00+00:00,48.7634
2024-01-03 17:00:00+00:00,50.5634
2024-01-03 18:00:00+00:00,52.0934
2024-01-03 19:00:00+00:00,54.1634
2024-01-03 20:00:00+00:00,55.6034
2024-01-03 21:00:00+00:00,57.583397
2024-01-03 22:00:00+00:00,57.0434
2024-01-03 23:00:00+00:00,56.1434
2024-01-04 00:00:00+00:00,52.7234
2024-01-04 01:00:00+00:00,49.3934
2024-01-04 02:00:00+00:00,47.1434
2024-01-04 03:00:00+00:00,45.8834
2024-01-04 04:00:00+00:00,46.1534
2024-01-04 05:00:00+00:00,45.4334
2024-01-04 06:00:00+00:00,44.4434
2024-01-04 07:00:00+00:00,43.1834
2024-01-04 08:00:00+00:00,42.7334
2024-01-04 09:00:00+00:00,42.2834
2024-01-04 10:00:00+00:00,44.0834
2024-01-04 11:00:00+00:00,44.9834
2024-01-04 12:00:00+00:00,45.2534
2024-01-04 13:00:00+00:00,44.0834
2024-01-04 14:00:00+00:00,44.623398
2024-01-04 15:00:00+00:00,45.9734
2024-01-04 16:00:00+00:00,47.5934
2024-01-04 17:00:00+00:00,50.2034
2024-01-04 18:00:00+00:00,52.6334
2024-01-04 19:00:00+00:00,56.2334
2024-01-04 20:00:00+00:00,55.783398
2024-01-04 21:00:00+00:00,56.3234
2024-01-04 22:00:00+00:00,58.4834
2024-01-04 23:00:00+00:00,57.583397
2024-01-05 00:00:00+00:00,55.693398
2024-01-05 01:00:00+00:00,55.783398
2024-01-05 02:00:00+00:00,55.693398
2024-01-05 03:00:00+00:00,54.9734
2024-01-05 04:00:00+00:00,55.0634
2024-01-05 05:00:00+00:00,54.7934
2024-01-05 06:00:00+00:00,54.1634
2024-01-05 07:00:00+00:00,53.8934
2024-01-05 08:00:00+00:00,53.1734
2024-01-05 09:00:00+00:00,52.6334
2024-01-05 10:00:00+00:00,51.283398
2024-01-05 11:00:00+00:00,49.033398
2024-01-05 12:00:00+00:00,46.693398
2024-01-05 13:00:00+00:00,46.3334
2024-01-05 14:00:00+00:00,46.2434
2024-01-05 15:00:00+00:00,49.7534
2024-01-05 16:00:00+00:00,54.5234
2024-01-05 17:00:00+00:00,59.7434
2024-01-05 18:00:00+00:00,63.1634
2024-01-05 19:00:00+00:00,64.153404
2024-01-05 20:00:00+00:00,65.1434
2024-01-05 21:00:00+00:00,65.1434
2024-01-05 22:00:00+00:00,64.333405
2024-01-05 23:00:00+00:00,61.9934
2024-01-06 00:00:00+00:00,54.8834
2024-01-06 01:00:00+00:00,53.7134
2024-01-06 02:00:00+00:00,51.6434
2024-01-06 03:00:00+00:00,49.3034
2024-01-06 04:00:00+00:00,47.6834
2024-01-06 05:00:00+00:00,47.9534
2024-01-06 06:00:00+00:00,46.5134
2024-01-06 07:00:00+00:00,45.2534
2024-01-06 08:00:00+00:00,45.1634
2024-01-06 09:00:00+00:00,45.8834
2024-01-06 10:00:00+00:00,44.4434
2024-01-06 11:00:00+00:00,43.0934
2024-01-06 12:00:00+00:00,39.8534
2024-01-06 13:00:00+00:00,37.6034
2024-01-06 14:00:00+00:00,39.1334
2024-01-06 15:00:00+00:00,45.0734
2024-01-06 16:00:00+00:00,51.0134
2024-01-06 17:00:00+00:00,54.8834
2024-01-06 18:00:00+00:00,57.673397
2024-01-06 19:00:00+00:00,60.193398
2024-01-06 20:00:00+00:00,62.8934
2024-01-06 21:00:00+00:00,65.5034
2024-01-06 22:00:00+00:00,65.8634
2024-01-06 23:00:00+00:00,64.333405
2024-01-07 00:00:00+00:00,57.673397
2024-01-07 01:00:00+00:00,55.693398
2024-01-07 02:00:00+00:00,53.2634
2024-01-07 03:00:00+00:00,52.1834
2024-01-07 04:00:00+00:00,50.3834
2024-01-07 05:00:00+00:00,46.693398
2024-01-07 06:00:00+00:00,44.1734
2024-01-07 07:00:00+00:00,44.0834
2024-01-07 08:00:00+00:00,43.0034
2024-01-07 09:00:00+00:00,41.7434
2024-01-07 10:00:00+00:00,40.4834
2024-01-07 11:00:00+00:00,39.3134
2024-01-07 12:00:00+00:00,38.7734
2024-01-07 13:00:00+00:00,37.3334
2024-01-07 14:00:00+00:00,39.3134
2024-01-07 15:00:00+00:00,45.8834
2024-01-07 16:00:00+00:00,51.283398
2024-01-07 17:00:00+00:00,55.1534
2024-01-07 18:00:00+00:00,58.8434
2024-01-07 19:00:00+00:00,62.1734
2024-01-07 20:00:00+00:00,64.8734
2024-01-07 21:00:00+00:00,65.7734
2024-01-07 22:00:00+00:00,65.5034
2024-01-07 23:00:00+00:00,63.7934
2024-01-08 00:00:00+00:00,62.0834
2024-01-08 01:00:00+00:00,61.003403
2024-01-08 02:00:00+00:00,58.9334
2024-01-08 03:00:00+00:00,57.8534
2024-01-08 04:00:00+00:00,57.1334
2024-01-08 05:00:00+00:00,57.0434
2024-01-08 06:00:00+00:00,59.0234
2024-01-08 07:00:00+00:00,60.4634
2024-01-08 08:00:00+00:00,60.5534
2024-01-08 09:00:00+00:00,60.9134
2024-01-08 10:00:00+00:00,61.3634
2024-01-08 11:00:00+00:00,62.1734
2024-01-08 12:00:00+00:00,63.433403
2024-01-08 13:00:00+00:00,61.6334
2024-01-08 14:00:00+00:00,60.5534
2024-01-08 15:00:00+00:00,62.6234
2024-01-08 16:00:00+00:00,67.4834
2024-01-08 17:00:00+00:00,71.5334
2024-01-08 18:00:00+00:00,71.1734
2024-01-08 19:00:00+00:00,60.7334
2024-01-08 20:00:00+00:00,60.6434
2024-01-08 21:00:00+00:00,65.2334
2024-01-08 22:00:00+00:00,63.073402
2024-01-08 23:00:00+00:00,60.283398
2024-01-09 00:00:00+00:00,58.9334
2024-01-09 01:00:00+00:00,57.943398
2024-01-09 02:00:00+00:00,55.6034
2024-01-09 03:00:00+00:00,56.5934
2024-01-09 04:00:00+00:00,55.0634
2024-01-09 05:00:00+00:00,52.0934
2024-01-09 06:00:00+00:00,47.9534
2024-01-09 07:00:00+00:00,46.3334
2024-01-09 08:00:00+00:00,46.5134
2024-01-09 09:00:00+00:00,46.693398
