date,time,temp,usage_therms,avg_usage,season,home_sqft,occupancy,appliances
2025-01-01,0:00:00,64.333405,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,1:00:00,62.3534,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,2:00:00,60.1034,0.11,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,3:00:00,58.123398,0.02,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,4:00:00,56.3234,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,5:00:00,54.4334,0.02,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,6:00:00,52.8134,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,7:00:00,51.5534,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,8:00:00,50.3834,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,9:00:00,49.3934,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,10:00:00,48.6734,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,11:00:00,48.0434,0.01,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,12:00:00,47.3234,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,13:00:00,45.5234,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,14:00:00,45.5234,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,15:00:00,47.7734,0.01,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,16:00:00,50.9234,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,17:00:00,54.1634,0.03,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,18:00:00,57.0434,0.14,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,19:00:00,59.2034,0.09,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,20:00:00,60.6434,0.02,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,21:00:00,61.183403,0,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,22:00:00,60.6434,0.42,0.04083333333,winter,2000,3,stove+furnace
2025-01-01,23:00:00,59.1134,0.11,0.04083333333,winter,2000,3,stove+furnace
2025-01-02,0:00:00,56.7734,0.14,0.06875,winter,2000,3,stove+furnace
2025-01-02,1:00:00,56.3234,0.02,0.06875,winter,2000,3,stove+furnace
